dataset,sample_id,text,expected_label,predicted_label,confidence,error_type
esg_test_v3,49,Coca-Cola HBC describes leadership programs and internal policy communication as part of general management and employee onboarding processes.,Non-ESG,Social,0.360892653465271,False_ESG_signal
esg_test_v3,48,"Unilever's annual reporting covers company performance, strategic priorities, and operating context in addition to sustainability disclosures.",Non-ESG,Governance,0.2944340705871582,False_ESG_signal
esg_test_v3,HARD_S_016,Several communities challenged the firm's land-use plan because consultation on local impacts was incomplete.,Social,Environmental,0.35995373129844666,Other
esg_test_v3,44,"Microsoft provides annual sustainability updates alongside broader corporate responsibility reporting for customers, partners, and employees.",Non-ESG,Social,0.3403540849685669,False_ESG_signal
real_world_50,20,Unilever's sustainability statement describes board-level oversight of human rights due diligence and risk management through governance bodies and committees.,Social,Governance,0.35924115777015686,Social_vs_Governance
real_world_50,30,The SEC charged Vale with misleading investors about dam safety and related environmental and economic risks before a major mining disaster.,Governance,Environmental,0.3170055150985718,Governance_vs_Environmental
real_world_50,31,The Apple Watch carbon-neutral ruling raised governance concerns about the substantiation and oversight of environmental marketing claims.,Governance,Environmental,0.3504295349121094,Governance_vs_Environmental
real_world_50,34,"Walmart frames ESG reporting as part of building stakeholder trust while managing emissions, responsible sourcing, natural resources, and supply chain resilience.",Governance,Social,0.3056401014328003,Governance_vs_Social
real_world_50,35,"Microsoft's sustainability reporting describes transparency and accountability around environmental goals, which supports governance oversight of climate commitments.",Governance,Environmental,0.3065241277217865,Governance_vs_Environmental
real_world_50,36,"Starbucks identifies supply chain sustainability and climate-related risks in its annual reporting, indicating governance attention to operational and sourcing risks.",Governance,Environmental,0.3518981337547302,Governance_vs_Environmental
real_world_50,44,"Microsoft provides annual sustainability updates alongside broader corporate responsibility reporting for customers, partners, and employees.",Non-ESG,Social,0.3403540849685669,False_ESG_signal
real_world_50,45,Nike publishes sustainability data files as part of its corporate reporting package and uses them to provide structured information to stakeholders.,Non-ESG,Social,0.3216019868850708,False_ESG_signal
real_world_50,46,"Walmart describes sustainability as connected to everyday low cost, supply certainty, innovation, and long-term business resilience.",Non-ESG,Social,0.30263659358024597,False_ESG_signal
real_world_50,48,"Unilever's annual reporting covers company performance, strategic priorities, and operating context in addition to sustainability disclosures.",Non-ESG,Governance,0.2944340705871582,False_ESG_signal
real_world_50,49,Coca-Cola HBC describes leadership programs and internal policy communication as part of general management and employee onboarding processes.,Non-ESG,Social,0.360892653465271,False_ESG_signal
real_world_50,50,"Amazon's report explains that sustainability coverage spans subsidiaries and business units, which is a reporting scope statement rather than a specific ESG risk event.",Non-ESG,Social,0.2978610098361969,False_ESG_signal
